"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11070","authenticate by UI","setup","Mon Dec 09 22:44:55 IST 2024","passed","Mon Dec 09 22:45:06 IST 2024","","auth.setup.js","",""
"","17563","Test 2","chromium","Mon Dec 09 22:45:38 IST 2024","failed","Mon Dec 09 22:45:56 IST 2024","Login form test cases","loginTest.spec.js","",""
"","12194","Test 1","chromium","Mon Dec 09 22:45:08 IST 2024","passed","Mon Dec 09 22:45:21 IST 2024","Login form test cases","loginTest.spec.js","",""
